"keys","en","uk"
"EFFECT_EXTRA_ENEMIES_NEXT_WAVE","Special enemies appear at the beginning of the next wave","Спеціальні вороги з'являються на початку наступної хвилі"
"EFFECT_STAT_NEXT_WAVE","{0} {1} during the next wave","{0} {1} протягом наступної хвилі"
"ENEMY_SPEED","% Enemy Speed","% Швидкості ворогів"
"ENEMY_HEALTH","% Enemy health","% Здоров'я ворогів"
"ENEMY_DAMAGE","% Enemy damage","% Шкоди ворогів"
"EFFECT_DAMAGE_AGAINST_BOSSES","{0} damage against bosses and elites","{0} шкоди проти босів та еліток"
"EFFECT_CONSUMABLE_STAT_WHILE_MAX","{0} {1} when picking up a consumable while at maximum health","{0} {1} при підборі фруктів з повним здоров'ям"
"EFFECT_CONSUMABLE_STAT_WHILE_MAX_LIMITED","{0} {1} when picking up a consumable while at maximum health (max {2} per wave)","{0} {1} при підборі фруктів з повним здоров'ям (Максимально {2} за хвилю)"
"EFFECT_EXPLODE_ON_CONSUMABLE","Consumables have a {0} chance to explode for {1} ({2}) damage when picked up","Фрукти мають {0} шанс вибухнути при підборі, завдаючи {1} ({2})"
"EFFECT_HEAL_ON_CRIT_KILL","{0} chance to heal 1 HP when killing an enemy with a critical hit","{0} шанс зцілити 1 ОЗ при вбивстві ворога критичним ударом"
"EFFECT_GARDEN","Spawns a garden that creates a fruit every {0} seconds","Створює грядку, що генерує фрукти кожні {0} секунд"
"EFFECT_GIANT_CRIT_DAMAGE","Critical hits deal {0} of an enemy’s current health as bonus damage ({1} for bosses and elites)","Критичні удари завдають {0} від поточного здоров'я ворога як бонусною шкодою ({1} для босів та еліт)"
"EFFECT_STRUCTURES_COOLDOWN_REDUCTION","Reduces the attack cooldown of your structures by {0} ({1})","Скорочує час між пострілами ваших турелей на {0} ({1})"
"EFFECT_PCT_STACK_STAT","{0} of your base {1} every 5 seconds until the end of the wave","{0} від вашого базового {1} кожні 5 секунд до закінчення хвилі"
"EFFECT_PCT_START_WAVE_STAT","You start each wave with {0} {1}","Ви починаєте хвилі з {0} {1}"
"ADDITIONAL_COOLDOWN_EVERY_X_SHOTS","Cooldown is {0} every {1} shots","Перезаряджання {0} кожні {1} постріли"
"MENU_RESET_TO_DEFAULT","Reset to Default","Скинути до початкових"
"DAMAGE_AGAINST_BOSSES","% Damage against bosses","% Шкоди проти босів"
"CHARACTER_FISHERMAN","Fisherman","Рибак"
"CHARACTER_CRYPTID","Cryptid","Криптид"
"CHARACTER_KING","King","Король"
"CHARACTER_APPRENTICE","Apprentice","Учень"
"CHARACTER_GOLEM","Golem","Ґолем"
"CHARACTER_RENEGADE","Renegade","Відступник"
"WEAPON_EXCALIBUR","Excalibur","Ескалібур"
"WEAPON_FIGHTING_STICK","Fighting Stick","Бойовий патик"
"WEAPON_CHAIN_GUN","Chain Gun","Ручний кулемет"
"WEAPON_SCYTHE","Scythe","Коса"
"WEAPON_DRILL","Drill","Бур"
"WEAPON_GATLING_LASER","Gatling Laser","Лазер Гатлинга"
"WEAPON_CLAW","Claw","Кіготь"
"ITEM_SHARP_BULLET","Sharp Bullet","Гостра куля"
"ITEM_LURE","Lure","Приманка"
"ITEM_POCKET_FACTORY","Pocket Factory","Кишеньковий завод"
"ITEM_SHACKLES","Shackles","Кайдани"
"ITEM_FAIRY","Fairy","Фея"
"ITEM_STONE_SKIN","Stone Skin","Кам'яна шкіра"
"CHAL_BAITED","Baited","Приманений"
"CHAL_FOREST","Forest","Ліс"
"CHAL_BOURGEOISIE","Bourgeoisie","Буржуазія"
"CHAL_STUDENT","Student","Студент"
"CHAL_RECKLESS","Reckless","Нерозважливий"
"CHAL_SCAVENGER","Scavenger","Сміттяр"
"CHAL_ITEM_DESC","Get {0} {2} during a run","Отримайте {0} {2} протягом забігу"
"CHAL_STUDENT_DESC","Reach level {0}","Досягніть рівня {0}"
"CHAL_RECKLESS_DESC","Finish a wave with {0} HP","Завершіть хвилю з {0} ОЗ"
"CHAL_BOURGEOISIE_DESC","Get {0} tier {2} weapons at once","Отримайте {2} одиниць зброї {0} рівню водночас"
"CHAL_FOREST_DESC","Finish a wave with {0} or more living trees","Закінчіть хвилю з {0} або більше дерев на мапі"
"CHAL_SCAVENGER_DESC","Get {0} different tier {2} items during a run","Отримайте {0} різних предметів {2} рівню протягом забігу"
"WEAPON_CLASS_LEGENDARY","Legendary","Легендарна"
"EFFECT_PIERCING_DAMAGE_SHORT","{0} Piercing Damage","{0} Пробивної шкоди"
"EFFECT_SPEED_CAP_AT_CURRENT_VALUE","Your Speed is capped at its current value [{0}]","Ваша швидкість не зможе бути вище поточного значення [{0}]"
"COMMON_ITEM","Tier I item","Предмет I рівню"
"LEGENDARY_ITEM","Tier IV item","Предмет IV рівню"
"EFFECT_GAIN_STAT_FOR_EVERY_DIFFERENT_STAT","{0} {1} for every different {3} you have [{4}]","{0} {1} за кожну {3}, що ви маєте [{4}]"
"EFFECT_EXTRA_LOOT_ALIENS_NEXT_WAVE","{0} additional loot aliens appear during the next wave","{0} додаткової здобичі з прибульців протягом наступної хвилі"
"EFFECT_TIER_IV_WEAPON_BONUS","{0} {1} for every Tier IV weapon you have [{2}]","{0} {1} за кожну вашу зброю IV рівня [{2}]"
"EFFECT_TIER_I_WEAPON_BONUS","{0} {1} for every Tier I weapon you have [{2}]","{0} {1} за кожну вашу зброю I рівня [{2}]"
"EFFECT_STAT_ON_LEVEL_UP","{0} {1} when you level up","{0} {1} при підвищенні рівня"
"EFFECT_STAT_BELOW_HALF_HEALTH","{0} {1} when you have less than 50% health","{0} {1} коли ви маєте менше ніж 50% здоров'я"
"EFFECT_NO_HEAL","You can’t heal in any way","Ви не можете зцілитися, взагалі, ніяк"
"EFFECT_TREE_TURRET","Killing a tree spawns a turret","Вбивство дерева створює турель"
"EFFECT_GUARANTEED_SHOP_ITEM","Shops always sell a {0}","У магазині завжди є {0}"
"EFFECT_SPECIFIC_ITEM_PRICE","{0} {1} price","{0} {1} ціни"
"EFFECT_SPECIAL_ENEMIES_LAST_WAVE","Special enemies appear throughout wave {0}","Спеціальні вороги з'являються протягом хвилі {0}"
"EFFECT_GAIN_STAT_FOR_EVERY_TREE","{0} {1} for every current living tree [{4}]","{0} {1} за кожне живе дерево [{4}]"
"EFFECT_TEMP_STAT_ON_DODGE","{0} {1} until the end of the wave when you dodge an attack","{0} {1} до кінця хвилі при ухиленні від атаки"
"EFFECT_PROJECTILES","{0} projectiles","{0} снарядів"
"EFFECT_ACCURACY","{0} accuracy","{0} точності"
"EFFECT_BURNING_SPREAD","Burning spreads to an additional nearby enemy","Горіння розповсюджується на ворога поблизу"
"EFFECT_UPGRADED_BAITS","Baits make some special enemies spawn throughout all future waves","Наживки викликають деяких спеціальних ворогів протягом усіх наступних хвиль"
"EFFECT_CRYPTID","Gain {0} material and XP for every living tree at the end of a wave","Отримуйте {0} матеріалу та досвіду за кожне живе дерево наприкінці хвилі"
